target_hash,rank_bin_upper
ca7634d85f5c1b855322bde02f23977611d7b51c1a857e5b6ce23d054f544a61,999999999
79c0d862edabe893642ed9648b38b076e2fea8028498eb9aff9ecc3a56003699,999999999
a6c1e9672d71e16a03f1a6b8c2cc5c029dd818855d7edf9d3f3d7069fc2cce7b,999999999
189cd5e3bd4e71f192bb5aa353188d0a7289337b8157c5f7764ec4dea42d0b83,438000
695f019075f4f560dbd8944722a3fd8276958f12bc69e887df72ea55a3b6f71c,999999999
80bbc0a8c1edd9b8c6cf82b5e15b83e4ba70ec2efaf3c73cd8c36d1ebd0f71d4,999999999
c0045ae8c0988d82c9658053989266bf6dd6b6d1ef611ae6a4a43d165c80e2cd,999999999
000f4e0d5b741dd17666fb0122506954405e43f38e119e3e5cfd60ffbdc19bc2,999999999
edcdc66866f206e76bfcfe931f18173cefe6e7e0bb40deb715dc6d6e85ac68a0,999999999
acd1951c63a27a0246b06805d3847f43828f0c42d89bc6208e61f18f881f2682,999999999
7d8835cd41bb6bfa586dbf077e5e9e55f33af34a36f23877d3639397851108ec,999999999
5e31b12b69929c4183666befd97a7b61cfaf71c5a2c42c89ddaca24d37eb455a,999999999
407861ce2cd5faad71aea12921de89957675899754e10d0d7f8e9dd361af3ea8,999999999
e6188a64ba45d928402433dc3056cb03a6cd3d147e0922c75f3198d1014c9dc3,999999999
6110130203f1b20db2fb74508afac9774ab2c0f2d502902d819317a80c849ea8,999999999
7248c6f255d3359dc8c16c052667a1efd47e60eb7e2c898fa5f1bffbb1427710,456000
b084ef581e2f7c0636c98c3b9c65645e1b4cbe55b6e6e84aee9c7210a935edcf,999999999
05a3c19fdc48f6d8efff2caf47ea0d4ea110de7220a6224178ded045c64df127,999999999
5284b074b86c145591a33594d60741b02a7a6adab0f9288b9412eb3223d88b26,699000
5abca2abf5ed9865e1003f1043b038e79a393004e9b34a6fae72d9b0236ed9a6,999999999
662d97ef5378a104e6739d8ebafc5eb852220802cec2aadf5a2b52ba34360fcf,914000
ffbd87786820c2721b743ecb109047db6b6de8c6249c776676ec20e513b11a07,999999999
c73ad7eed60c79169ca745827ce90157120206ebd34f866e064144f056ff3323,999999999
613acbaeaf74f2a11c41a534f142c5c2d6450ff3fd2a27ed2db46b4acbefe4e6,999999999
803d91ecb96fb694fc63a7015e2ed8390a36b7964dcb34e98dc6bf2895036d0b,999999999
91b7d1db39f4161a59adc55d142d2087cbbfac87383575216b80313a71dbd2ab,999999999
59f97c0a67187b1b3d736083bdd3e8405f1c584847141e8ef41e6e2cd2f7c4a3,999999999
c87e624807753f465ba2916d31a9c6d116f448ccd0f373c03ff0eb85487747ee,999999999
c88f092c1ec671275ef1ed8eeca78ef65016904b2181935a7f5a06b162efe0aa,999999999
cf0f6a22f2ca511ffccc5178321c527d832c6e494fa8509636ed956806ed3b6d,999999999
657532b32029c90e8fdc6397d999362a89943e90cf1131229abce1ce5f31b7c3,999999999
1aefbdf0aa42155b72467855a2006bdd296432ba39e89ac376c7de9c8aa038fa,999999999
941597826a95ba61f29857caa44e6bc5aa16f21931ee35332b4f8303b60b0ba0,999999999
ca7cfc77eb3a30f9f9af52fe1e03484bbac499d4d8c0157cc7990d024d0081f2,999999999
4c701d61e99499fc6107f71f1a79c634b83f5a525dcee3c183a010857cecee74,999999999
d2df560bf8b3242c229ed8126e80188638bc4512ad6bf050c5e1c72f2e25a08b,999999999
7c02b41bd987333a116fb2fac01092a02238244e80946501ba5c5bd7488ab025,868000
7d2cb9f86995ee07045bd0730855afb2b25e0e60d293e375fd34c7506a60a1b6,999999999
a67fc7ec06db8665bb23559d03434ba4f1278812c4e71a135a86d286adde4817,999999999
2dca94bf5b123587600f7e320214aa2b46c7e0f2ff08c621da252ec6c7113e92,999999999
31ad7245bd45e33532c05962cc82b6b762be1ba8c82ccdc3b692c51cf9211f70,999999999
ce52bbe65f5bf7ea2736490624baed1ef7ee4d1fcae778a3c8376d2de89c5afd,999999999
0e601af3317081dab857cfa1603f43ad573e02573793043f5ec44b8ce44ceb06,999999999
be002a2004cfc8f099cc48c134dee8e64c3356a4c31a068fedafdde0fa10eec1,999999999
e83e36ff7d6c3f92ca6dce9d413a8fbcc1dac864bcd9a770000cfa8ce43a96a0,999999999
17a1e3b59ca2f04e670245c5d7c6191677194581c5f1b06805780f6f39f3c6b3,999999999
d581e4e6a067a18e851b4df354023e39aac93cd7abdcd984fa803e6b79c7a10d,515000
465b1117ec00f6f76fa54f207938362458f7050266c1ffa9c85e0da81ff867da,999999999
7c96d4925c26354c3a5f277bded79caa1aa2d202ed96d3c05181244d35642c7d,999999999
9a91bb93491c5e296774b35992963c8c987fc3df8c2098a80a7d0e7f4d76190c,999999999
00314ac67681e7fd9b01d6dd810a490c199034a5025539ede626112be9ecb5b2,999999999
92ecd7bf6a3e9534e2b7b3a9f0189e43d639aef642e70263c90ad732618c53a7,999999999
cfd5a05448760a92bdad7a2fbb912af613d49657421cf2877ea43e721d9b6b5a,999999999
f7fcaa7985b3ccfd989d750ef763d57a75d8f48c2f08871e829268b073efd1fb,999999999
8f2e77d915bdbad0d3f9dbfb011b889e14effb7135be2564a13422d054639a8b,999999999
191620b156eadfbac7b50d312053f7817ca4b599b9bf882b4d3126ce617e8618,999999999
db5d9078e50f98d448e40fe79e58a5ce748ecb3b90bd9a4557e2bdc0405f9e46,999999999
cd924d1013fa82fce6161537899d41fb66c89cfea20bf43ed9fcc6498074db79,999999999
1dc48f2e3f24191bab113624560c28808f900ec00842cdfe1464c8dfbfcc539d,999999999
c548f5d5865597075d04400e0501f9a9afcd56f86d49c499ab4ac6a056be29c5,999999999
878a09cbe54e48a5212a98a5b39549493c4fb6fcf594f8cafe59fbab93d4bdd8,999999999
441328367e4df06c2b4c87420008d4dbca5c7a5ad90f29f84d5fe14526dbe381,373000
eac4b33809bdb29f624c8224cfbc7ba97aa9572fc692eb9d8225d14302dd3034,999999999
3728037bb4a19d7a15fe62e6cd4ab24a11011ecc2e552d386b0c9f195f369e4e,999999999
c2032704db008329662f57475d28138fe3ce864ce4aff58afda8e158bc7e4e6d,284000
7edbc7386ba6b0e37f8ece8bc76e797469b55c6a94bc8403c98089302ce4aa61,999999999
0d27be59fad15b9b40fad92be9c31b7453bdc68a16fdc632ba9fe32dea7845c4,999999999
bdf505882f009742d4e914a22cc9cd8a594fae0de718a8adf7d83ad372b9c4cb,999999999
571bd1cce972da345be7e8394d5b2c5012bc7e624b85d9df6d39b8e003fb0e6b,999999999
cbe989509f57c978e24dc1dc4487c582d118ef83682878a07b4871ae1fda8a0b,999999999
79679073e4e78a2aba2a462f32d63ced4962d141cf7b190e5d0ee6f9fa769c10,999999999
fc96ee3bcc63125ded3d2efadce08d5fe9b3cbcbc21d4cc4724e98835d691f6c,999999999
c346ac25f9804789a29e449624218c5a0cbb3d53841235802e842896de80263a,999999999
d019885fe3fa0c54efa139318fa23755f81e4a44f9ef546decff816634f40957,485000
6bc378dd5212958098fa1198df34432aceed6c7b7e1ff7f9044d9f580a21bdfa,999999999
95bb6fcf11d3802da3ced44fdcf108b119545d4088bf5ba0b6648636f174b463,999999999
c4d993aec1cb97e36f00293e0aaf4ddcb61cfd0758b93f2fe601d69b1bf60e58,999999999
24aae3fde4b08764074199199e056eba815173155a0b4e61368a55dad89e1be1,999999999
690e92fa2b987bf06bcb8bd4a7edf848c25da2fc6eb2047df16dc1de10c5e5a9,999999999
7ba88b733f6c67e047d4de8d434b18b36d239ac9f58dc1c52783e61c7825ad42,999999999
af5f2bd77c59c6c270a63d33417dd6403f5af0271d87bfbc9b5ef4d028387138,999999999
95f0b101ae9e4b0c3359a9bea7d353d3798c89f44c2d3b50c6bbef9c17d7ec90,999999999
7b2da59a986684b528c685c293526febb0bbf712719ed9ff910b3ae0a6fd8329,999999999
a453af76ef3b4c7a7af54e76a0f3e164c5f14cfdf031d24dcbb7ae37aed29bde,841000
a97534a6a958bb3d84e16f958d3979522d3ff7c83e746a2a5e100922d19940b9,999999999
73474774498fc366291afcf7c656cd162cd86e53afba2336a4d35673d315934d,25000
1add447b3534fa5fba304644a2ff4b00c943754280ddf23e369389499e79467c,374000
43b5a6b10117e1c15ad999f25438109279c89d2cb7692be101ea25062783f513,999999999
cc1c3c2d5b455398486ad55fc264f008a223939b0075b8fd0a33f322b1549d6e,999999999
5a024abfe94679434abb6a1555e30430dae4ff84cf7928992bda570a3c474e43,999999999
0617cacb75208a3caa82d9b8cfca713d4035cf592e3c822555f62b4e5db007c9,999999999
25a48d29a9ed7ccd5352602bf69356614c40f84d0b5ba4f84e4d673de46d49d2,999999999
939e50caed783ab48f442fe0c308199cdf463c8ac463e4946914dc6332829ba2,999999999
5670ef12018c4571bd3dded6f3c69fef034ba9b27758d6bfd27415cb12fe98b3,999999999
6a77bef38b4b41be933425458b4ac63f333980b3718d39d8744a68bd076f1478,999999999
51403991360ebeaaded8f652993a1b6b760079313382c29feaa54f41b67b3e4d,999999999
2d78e2e057a36371f99b6d940b53b1ede78a407141a82d692ac006a67b15f504,41000
429201fcde5bb8b9196d3bc68986a87eeaf20148acaafd23ede3cc9355bf6f20,999999999
f74d1ec45ea0d8f61d116e5347796bbee0395a850ca01dc4e8ea3c6be26e52d8,934000
17a164495e6dd07abc8806f167db62d0b92d81fa5fbfea43b0ae3780c384d74f,999999999
0026f550791fb25ac4569bab42768ec7811f7ce6e819abc8d4957b5c88dc7fad,999999999
b35ea21ce7bc76dbdac346806cfd24322684da7b1d17fc46323af60256e6d2fd,999999999
c913ebf93adb8db20b7fb72ba7e79e443f3b4f419dc2e1a0a6f1ae52f6dd3594,999999999
64852245f4460a0c3de2602e9778a4cffbe722c8e953209ad22cb03b4e96aa32,436000
4003db9c0b6308433e1fc2420838fd0566d9e4f8e3b1be75d1af041314855e4d,999999999
e9b4376e07b1837ab435be7f28810edf4d09593d84fa432d629de8344d20997b,589000
baabaf9d0625da80fc7eadb78e24b917a056521d548e971f0ac1d07c14680151,999999999
0b702358ccaa10c96c0b160e4816240576c1c30924b3cf1968cb6bae3ebb2b42,115000
3722ae0f3eeca2ed3cff7aabd2968acadb3655c49588e2f3afe3af58c47e9fe3,999999999
2d2d095802365c9496142ceea29b8795ba490deaf33dedd18b3601921c9482c2,999999999
d9ba6df10e2721590566e576cef61d2b2f7eceb4f682dbb151c00b9a32969687,999999999
5d46a16f2a51859307a1401af1b82e8a33f277b344bb8e35ba688830fb08f8c3,125000
99bcf258e4d7ecc4796a5b2b9b227debf592541d535469608bb07b8178cae8d9,122000
91b6b96d57b5c44af6d52383d593fe67ae0128baacc28adccc541be9cd7a5fa8,999999999
68f8192c62b5a816a50ad9be7808224ac804c4670caff162a049504c26c62b99,999999999
7a1b53ec0cfe6f6210447ee2555b3a051ced1b211e2471db75a15c79c3d63c1e,999999999
7937b93cdbead35c6dbe54ef43682400397e9e517cb52ee1dc5ff6396341536f,999999999
3f6d0eaf302abe165f404303110ac7d91af04c82b5b39c70a61c6c523be80511,348000
3693a3b4835399c1bcba43f9c7daaac0d11476278a340b53b09a4a21cc64c68b,999999999
8dde6b7782eeccccafb44d889fb68f5eb5af23366edbf307bd5b5b4c6b6e4605,999999999
