target_hash,rank_bin_upper,dc_datacenter,dc_domain,dc_provider,tag
4f2ac7000ad4e1032ca7a384b8edc1c8c6abc82c00e41fbce0cad92077e5e1dd,93000,Hostinger International Ltd.,hostinger.com,hostinger international,['Unknown()']
387acfe6225703f5eb7dc91992ad1542a74b7ea0122b69d7a58140ff914abb79,37000,alibaba,NOT_DC,alibaba,['Adult Themes']
63f3c11c46b6f6a555590363687f4790a542897516b62deb6b83159d16789598,97000,SuperNetwork s.r.o.,superhosting.cz,supernetwork superhosting,['Travel']
5e5f3ded544866fdd4e13004a2c7783af27dc04ff8fafb71f7b6523b013e20b2,34000,Incapsula Inc.,www.imperva.com,imperva incapsula,['Science and Technology']
485a19133ee654b74de408842b990e6bc22921b3a94a1f44c4be840298104613,32000,cloudflare,NOT_DC,cloudflare,['Unknown()']
fe1e76bf53da143ca4c13b715a8a6c46f7ba0556e9cf604883149153a0d3edbd,46000,Amazon AWS,NOT_DC,amazon aws,['Educational Institutions']
55aad10e05edd0f64e69d691ce8484de1bca42a3afd75d121952a92ab24ac990,62000,Hetzner Online GmbH,www.hetzner.com,online hetzner,['Ecommerce/Shopping']
7d039f7cdf2c12987e7da40d53fe6e7d4299cb4a828e65400439f866ed7180fd,39000,"Cloudflare, Inc.",www.cloudflare.com,cloudflare,['Entertainment']
5bcf5f91147140fc176d216b95c8ab819b643fc9d8a46421fe34911e524524e0,54000,linode.akamai.com,NOT_DC,akamai linode,['Health and Medicine']
b2f42f8f3faa77cbf6f9800f5b23dfba036cee3697034c159c12f25bcdf86170,64000,"GoDaddy.com, LLC",godaddy.com,godaddy,"['Software/Technology', 'Business Services']"
c08448b50c0cc37e00dd2b52784d402abf934c4d70c1875c7d52336b2d81448d,61000,Serverel Inc.,serverel.com,serverel,['Unknown()']
7c3a125bd5acbb52830b93be3b10756b1284e1f4bf5bb41d839921bf55c8255f,22000,SoftLayer Technologies Inc.,www.ibm.com,softlayer ibm,['Research/Reference']
3c9dcd5f2e297df1744317716d96dfe02562933fe46139b3d31a486bc915e348,58000,"GoDaddy.com, LLC",godaddy.com,godaddy,['Unknown()']
4461f3c50611bd068ce43f512e060f93f77d1a2245e9fe698c5c700a7ca5a161,1000,MnogoByte LLC,mnogobyte.ru,mnogobyte ru,['Automotive']
9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,60000,,,,['Non-Profits']
372ddbd800a6ec32df87f75387cb0ab2da229ef744af963e4f4d45c289d873ae,75000,OVH SAS,proof.ovh.net,ovh proof,['News/Media']
c2562f7ca87b0e67074d75f8a38159fccc3b3022a334034e986805defae4af2d,74000,linode.akamai.com,NOT_DC,akamai linode,['Software/Technology']
37af51a7228374544042d5d8e983e63c3e831271ed4fb575cca0ada243324285,61000,Amazon AWS,NOT_DC,amazon aws,['Ecommerce/Shopping']
e93436bd6a153e87ae370a2919468000bfa4599a3dd9e13a5727a7abd4238b09,42000,Amazon AWS,NOT_DC,amazon aws,['Educational Institutions']
00c2db773e42d6b76f8d380dcd8c77396a2a67450c59785733be094ae8e4dbe3,86000,cloudflare,NOT_DC,cloudflare,['SaaS and B2B']
864ddb6bd5365db080da86fd98d5fe343a02cc40dc288a39a5a36b2a29e91468,51000,Amazon AWS,NOT_DC,amazon aws,['Software/Technology']
0344493d51cbcae55a3e35dccc64d51a120865f36d7ba905755e8194de16a661,47000,"Cloudflare, Inc.",www.cloudflare.com,cloudflare,['Streaming Video']
8343fa0ace4123c34c975a777c463aaa86f271ba3158c9d37fc20c1399bba3eb,39000,linode.akamai.com,NOT_DC,akamai linode,['SaaS and B2B']
96d7600b1f0bddb19417d53125bc1c2b3bc5e3fe7559744301e9614acaf0e0d3,92000,SECURED SERVERS LLC,phoenixnap.com,servers phoenixnap,['Jobs/Employment']
d0ea7ccfb830b537d56c68f73aebaa173d4bfdd06f5807b43b1c4cdfcab64397,32000,Amazon AWS,NOT_DC,amazon aws,['Travel']
9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,15000,,,,['Ecommerce/Shopping']
170ddee7611897dd0bba9bb24e163e3e6d4b02b54c6dbe82675b8d7283b78093,96000,Digital Fortress,digital-fortress.com,digital fortress,['Real Estate']
054cdf59ce45bc77dfef2c698cf8b18466f686a57205ffa7efaceb297c67d7ba,14000,Incapsula Inc,www.imperva.com,imperva incapsula,"['Adult Themes', 'Chat', 'Nudity', 'Dating', 'Forums/Message boards', 'Pornography']"
4d48e34cab44281c3bbe8c9d36e73ce172b94d754da448a5684aff4c23a7f4cd,12000,cloudflare,NOT_DC,cloudflare,['News/Media']
92539ef400ee05d16e9a968411f6e80a41196c1a70667ed6a491191eabd7e714,15000,cloudflare,NOT_DC,cloudflare,['Online Document Sharing and Collaboration']
6081a949cd6fb27647d46f154fd6788fd7a19a535addc51f6efbb62feed99cea,18000,OVH SAS,proof.ovh.net,ovh proof,['SaaS and B2B']
adabe845866829459e1820d49b4b5e47c4a01465aa83b6c283f5f1a1b4f72397,86000,NOT_DC,NOT_DC,NOT_DC,['Government']
9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,62000,,,,['Government']
7aadf047d036e64cc6b4e28bb3129308ef5008b8bc306da6729f20623a2df3a7,63000,cloudflare,NOT_DC,cloudflare,['Games']
3c1b4bf2e084b3af62399fc050a5ab48f3d0a3c82c8e61619b7ee53a3b8f951a,68000,"Amazon Web Services, Elastic Compute Cloud, EC2, SG",NOT_DC,web compute,['Ecommerce/Shopping']
9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,76000,,,,['Business Services']
429f66da7883ae1ef0aefed2c14c5d12ade7aa4a0d49b0d39bc094ace629becb,27000,NOT_DC,NOT_DC,NOT_DC,['News/Media']
879781604cda779276501a76d11bf3375e8dfcc00cb9b3970b323946095fa8ef,35000,huawei,NOT_DC,huawei co),['Unknown()']
272d42feb11699549ab18c9cb30b979bc65ec3d8cea8d149070304d04edced74,80000,OVH SAS,proof.ovh.net,ovh proof,['Fashion']
a5f4dd080bb17512bb3dc716e219a4564e7ec80e0519abcf962b2304a93a51c9,45000,NOT_DC,NOT_DC,NOT_DC,['Research/Reference']
9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,82000,,,,['Health and Medicine']
c872c23b4bc0aeb0ee9d7c9e100bcbb20ba8244044e5e2a18bdfbb722c83bf81,17000,"Automattic, Inc",automattic.com,automattic,['Recipes and Food']
05f755ef4f700989aa6feab38f32429bc652151602b462bbca28623e81df3b6e,34000,cloudflare,NOT_DC,cloudflare,['Unknown()']
b8692f5f846483c5b36f3e3f790e2c0ff39eb2189be0b1e25e28865863485c27,27000,Scaleway,www.scaleway.com,scaleway,['Entertainment']
22324b6617be1c2c6bd0cf253bf0f8f46270f452c693d4e71f3cef8951fb2e2d,19000,cloudflare,NOT_DC,cloudflare,['Forums/Message boards']
bdcbc3afabafaf6f7938f6dfb329b6ed3f02ce0445dbdc9c4713e19c5926c333,27000,cloudflare,NOT_DC,cloudflare,"['Software/Technology', 'Web Hosting', 'Business Services']"
1860b664329d249d062536649d7102db6015b13bc57251f5c935746528c1ebfc,57000,"Cloudflare, Inc.",www.cloudflare.com,cloudflare,['Unknown()']
ba858015b2e8bd3710070363b31c3ca089d1369cdd09a6e600866d453a33ca25,1000,cloudflare,NOT_DC,cloudflare,['Business Services']
1dd01e42a50fbf111bcfd7efb8b0213be4d83d0936d32937e67303746be137d5,49000,"Cloudflare, Inc.",www.cloudflare.com,cloudflare,['Gambling']
62341732984ae33784c57367afc9917ccf9c495691c531f306fa1fc626729b36,52000,Pars Online PJS,parsonline.net,parsonline pars,['News/Media']
ff9d5809fdb30f07bb2620d783a7031c23b8a25f87fee6a4bf629de80aa23dd4,50000,OVH SAS,proof.ovh.net,ovh proof,['Software/Technology']
cbcf0a6bf3bd4d2c9f9a6a67a1fe5bfef0622eacb22770303367227392c51aca,42000,"Aliyun Computing Co., LTD",eu.alibabacloud.com,co alibabacloud,['Business Services']
be4850804d31d1ae491faeb5eb91634c0d46aa1a2ca212f198cabe8cd9e30e9f,34000,Hetzner Online GmbH,www.hetzner.com,online hetzner,['Automotive']
7c944fd942cf1cb1d46baf1f2a8b2d517fb60daa6e3abd4183daf1e887bce0c2,8000,"Akamai Technologies, Inc.",www.akamai.com,akamai,['Unknown()']
24daaa7847bc049e1a87a2013a82443cb56ff792978e1a2dd4e2927c9d9a4c7d,52000,Webzilla B.V.,webzilla.com,webzilla,"['Pornography', 'Nudity']"
c1f97b5cc0536adaf1668e4a391c5b8ed8bd680c1f0fc66b25b155619f871b3d,68000,NOT_DC,NOT_DC,NOT_DC,['Business Services']
dc71df7dfc9b7585856865de0cc46fdc5f2a8bdb465f2d0a6d3f269deed99c8e,43000,SoftLayer Dutch Holdings B.V.,www.ibm.com,holdings ibm,['News/Media']
fe89263ac28693751233a34d9842552def9125d66f2ff491aa3a90dc7bc4cfe7,97000,cloudflare,NOT_DC,cloudflare,['Ecommerce/Shopping']
3d60830125e9212e3c95a9b42492c3d73278affe317b7e20a525e497fc522633,32000,"Hosting Services, Inc.",www.ingenuitycloudservices.com,services ingenuitycloudservices,"['Pornography', 'Nudity']"
ba89ed6fc948713b6ddb470db9a95307faa6befbbcdb4eb7aa6fd9ab053dc518,56000,cloudflare,NOT_DC,cloudflare,['Business Services']
f1a2377b68a0bc13c9a21bccaccc2f6c8143246c83c4ef7ea8c122c50be552a5,46000,cloudflare,NOT_DC,cloudflare,['Unknown()']
c4e7fb359e1f2de83fc22ac78ae6e65c73da462d2a08dbc9ce248181451e201b,39000,"Cloudflare, Inc.",www.cloudflare.com,cloudflare,['Pornography']
7e4027f7da4266e3d2fc3901a93367015a05bd6ce8b49b00efe344512470f10e,32000,NOT_DC,NOT_DC,NOT_DC,['Educational Institutions']
78f78328cac8cfee43dc54bbdfe0af72e906651051158ec8182779ecb9fe7dd9,7000,"Domain names registrar REG.RU, Ltd",www.reg.ru,names ru,['Research/Reference']
9f67c7adde6a569b0dc0bd3c89af425d87fd263bbaf4059764ac269169f849b5,45000,cloudflare,NOT_DC,cloudflare,['Illegal Downloads']
3a3bbbdca3a3af39adc3deef71ec3a4e4b04630a0e3c6cab21cb800cb768720a,39000,Amazon AWS,NOT_DC,amazon aws,['Entertainment']
57c9a99b390186e775599e27c24a6f04295a7b3e8c11055a65b3de6bf014e34d,62000,NOT_DC,NOT_DC,NOT_DC,['Entertainment']
efc385905e94e62d8e9caf7034ada1b8da6e05773b3b7c11b7561cc41ac1ac4f,24000,domainfactory GmbH,www.df.eu,eu df,['Research/Reference']
ee177f5111270b84a55ced931507fd3de19a3b64d2db97397b8862f6ebdcbf30,54000,SoftLayer Technologies Inc.,www.ibm.com,softlayer ibm,"['Sports', 'Forums/Message boards', 'Automotive']"
62168d70c5d71c89a7bbd40c25ece4d19f3e3e6f27f55ecdf66e813e8b967054,59000,Google LLC,www.google.com,google,['Software/Technology']
c0be9af34d5ac174d0e557cd48949174b199bfb16b75ec7886dc5251b2cabb69,22000,NOT_DC,NOT_DC,NOT_DC,['News/Media']
08fb502241ed5ecc01a03d19cbe02508b585848d0f73ab429030cc586f7e3893,72000,KINX,www.kinx.net,kinx,['Entertainment']
d1c54fac7a1771ddbdb7959e0b1ab89c91eceee4ab8f6403077d28d111c18e55,19000,Amazon AWS,NOT_DC,amazon aws,['Search Engines']
a9c6c32865a3142e78cb46874ed3e69ec685ac36af5abe00db3c90beb4aab948,87000,cloudflare,NOT_DC,cloudflare,['Gambling']
3ff14cd1bba8553ff1fd97f7dc1e3b29b8bcfe8b5ad452836e2149f7ca6f4df4,21000,Probe Networks,www.probe-networks.de,de networks,"['Weapons', 'Auctions']"
dcb1227dc88bd828cdd038036bf3040dd1afb058e266c7a9aa32e66a822b73eb,33000,Amazon AWS,NOT_DC,amazon aws,['Forums/Message boards']
87ebdd695a7c89aa1913961f294346d7adb9fac6ed739834137f84ecced93672,78000,Pars Online PJS,parsonline.net,parsonline pars,['Business Services']
9e695ffb549496b25ecd1fad2c989845dd8b267cb88f540991b1b061ecc182e9,49000,Cloud Temple SAS,www.cloud-temple.com,cloud sas,['Business Services']
49e63ff4609a4a3ca78381df61ed46f64a5f138b9bf5bb63a4512fc0ce626bd2,52000,"GMO HOSTING & SECURITY, INC.",www.gmo.jp,gmo security,['Advertisements']
01aa8c6466437d7e453a0c2fa0dbfc6ef880d9c69ec28ab61cf75bcbfa057891,2000,Fornex Hosting S.L.,fornex.com,fornex,"['Humor', 'Blogs']"
82777a84ea8ef4400b8a0c7ce908bf4952382c15f6ad67f1e7cedcc519374781,5000,cloudflare,NOT_DC,cloudflare,['Unknown()']
cfb5a2abd6abbd1e0212a345365ae5b3a28184bb6f1c6ca92cbdbcb0d5c8d42c,73000,Amazon AWS,NOT_DC,amazon aws,['SaaS and B2B']
e0f4f5c539ecd7741e2495824b94c33e45604d2f808c66cb65d964772c06a930,27000,Incapsula Inc,www.imperva.com,imperva incapsula,['Government']
7cfa79cbb3b7c2a65d607e081499fb5d3d586c8c5e6ea73309dc694a16f9dd28,45000,"Key Information Systems, Inc.",convergetp.com,information key,['Educational Institutions']
e09d7a187b66d866a846b76c337761bf23124e1da9c6b4327061054491b26069,96000,"Cloudflare, Inc.",www.cloudflare.com,cloudflare,"['News/Media', 'Entertainment']"
2c5412863327e4dcaef7cc93517183e50ba2ce4378f02c1f9bcf7c4ef830f484,32000,DigitalOcean,NOT_DC,digitalocean,['Entertainment']
d946eba0657c0efc3ffaf0f2945f49d413f11287527a4eff97b2cf9f365fb800,85000,Amazon AWS,NOT_DC,amazon aws,['Ecommerce/Shopping']
0651a8b5c87106207341ba472d67514c5d1dddba036286a6c040e447fe5d0d63,91000,Hetzner Online GmbH,www.hetzner.com,online hetzner,['Unknown()']
79ecf1b2382ea8c206e14ce26f3845b60a493636deaab85ace19abf693654552,28000,"Newfold Digital, Inc.",newfold.com,digital newfold,['Ecommerce/Shopping']
5b0781f9d9f35369aaa89e6094c6c49438bb626d9771f1c584bbd90316bb65c3,7000,NOT_DC,NOT_DC,NOT_DC,['Personal Sites']
d40ba3191645bb273c9db9916f86a687e1f81b069d57c1f9cc09578791343268,93000,NOT_DC,NOT_DC,NOT_DC,"['News/Media', 'Radio']"
d863f2b54fd0190086fd6237ae49c0f54c8dc07665acb44e43a439456da72f8a,37000,"Cloudflare, Inc.",www.cloudflare.com,cloudflare,['Entertainment']
8ca92b20d4844d5e6abd6cca77b3b1758d9162a62f31b228f918c69a1c3b049c,91000,Amazon AWS,NOT_DC,amazon aws,['Entertainment']
a506ba5f20272fd948f922a4a003a86fef714234cb0e1f528d0bfdb1df9f2536,3000,NOT_DC,NOT_DC,NOT_DC,['Auctions']
74f42154e6a1e10cc3c337b9a76fad26a99c63fe590538f13149ec8f4da95b13,18000,"Cloudflare, Inc.",www.cloudflare.com,cloudflare,['Research/Reference']
188dd4e7256e1819b8961a01d30a588d5dd6859d4d83ce9b99b683f5ce39deac,92000,NOT_DC,NOT_DC,NOT_DC,['Ecommerce/Shopping']
b1b2f3ed0b320c2a19e4883bad439dc06b5dcfdcece1dca18ecbe56ac576450b,6000,"Cloudflare, Inc.",www.cloudflare.com,cloudflare,['Animals and Pets']
ed27e02675ab5e68b94aed7aef9d979ea706f688c3ea64adffe9798961a77f44,28000,cloudflare,NOT_DC,cloudflare,"['Pornography', 'Nudity']"
ee8a1aca05bf4b47f1d45ea809a01f400522800c356ad7d440c00b1bb68091d5,51000,Google LLC,www.google.com,google,['Pornography']
1520f9078e0bb59f85c2d34a2d68dc53e4584698bb3b4d4b75003bef3803c086,3000,NOT_DC,NOT_DC,NOT_DC,"['Politics', 'News/Media']"
731b48aa926b1b3e9dc6a4cb952b1eb2233e355e9bbd85b284abd8c4ae21deae,73000,Amazon AWS,NOT_DC,amazon aws,"['Gambling', 'Parked Domains']"
aab9cdb07af0822c5ac2e7056b9002abaa1b8260eb820ff06e81a11eac1f31cf,52000,Scaleway,www.scaleway.com,scaleway,"['Adult Themes', 'Pornography', 'Nudity']"
205bf8db5e791d4f914174811deb361296de7e60746db45ac7ba838f0050faee,3000,NetMagic Solutions Pvt Ltd,careers.netmagicsolutions.com,netmagicsolutions careers,['Travel']
011db49389c75a952563dd7d96ae77936ccba5756b87229eb8c39be9d11d66ab,43000,Hetzner Online GmbH,www.hetzner.com,online hetzner,['Astrology']
c87cd5c814cc8334501ddb918a1c665541897dd3b3dfd2213b8befd12ec02fa8,27000,NOT_DC,NOT_DC,NOT_DC,['Business Services']
f15f80ecda79e799cdbdc8a707da96fc7a07038aaf84940597f7de44e20f631d,73000,cloudflare,NOT_DC,cloudflare,['Business Services']
85f380b1d8b62590e18b629a570aa2dc97b5fea50200f9d28cf8e656ec577838,3000,Host Global Limited,easyhost.com,easyhost host,['Ecommerce/Shopping']
62168d70c5d71c89a7bbd40c25ece4d19f3e3e6f27f55ecdf66e813e8b967054,57000,Google LLC,www.google.com,google,['Unknown()']
729f2418327bab69b08c2b79d011e8d788cf41a0bbf47df35df3c93a16516f44,82000,linode.akamai.com,NOT_DC,akamai linode,['Ecommerce/Shopping']
cc47fe635350f75fa0cfee4b077c3aaa2a33e4010ef6bb179b91656ddd068004,91000,NOT_DC,NOT_DC,NOT_DC,['Research/Reference']
19c4ebe73d721b57f3b6d9389d83ed0179af7ed765d50eab280e5237c39ee395,96000,NOT_DC,NOT_DC,NOT_DC,['Games']
fa15681f92dfc32c78ba76e40eaf97045ba5690ee620a61e6c7b9beaf6399ab9,23000,Amazon AWS,NOT_DC,amazon aws,['Business Services']
54c240a2462bf1518ffd57cea4d68c9719fb4476f3a54785057487fcbffe495a,65000,"Automattic, Inc",automattic.com,automattic,['Entertainment']
9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,62000,,,,['Software/Technology']
cc6c059c88bc90ceb61a7bd93e4a24d4eecc39d5fa4a121ce1b1f97bf3c4fc4a,40000,Amazon AWS,NOT_DC,amazon aws,['Business Services']
8f5662029cfb70794d791f5aa2c013b772b113aa47687a10530c4ba11c25305e,7000,NOT_DC,NOT_DC,NOT_DC,['Business Services']
0f05de9aa20c756f0ffc3b1114d265ffa7f3bba9fd8efca4abd3bffb0d4e6503,37000,Amazon AWS,NOT_DC,amazon aws,['Software/Technology']
3c2006ac8f71e2683d2ccfdea5eca4161709831c3e7f1c1cb2c47fcf086e6693,33000,WEB3 Leaders INC,yeshost.cz,leaders yeshost,['File Transfer Services']
ab383450ed4a01a770e46c17cf67ea30c219af86d66f47a550b99fa9eff401f4,36000,EDIS GmbH,www.edis.at,edis at,['Pornography']
fedbebb6eb6c544afbee92d55aff445d4dfab96acf3d04c22cc1740e849cbd91,71000,Scaleway,www.scaleway.com,scaleway,['Chat']
15a6525b12033835bfc0cc3c5da30551c64bfe0771762293b71bd09628eac9ea,40000,NOT_DC,NOT_DC,NOT_DC,['Government']
a11b59438a3f3b77fe30b4c3008e0d41728ca984d669d92aeb53f3b0963b14c3,94000,cloudflare,NOT_DC,cloudflare,['Nature']
da706f9f6ec5dcf851c1fce00809bbc274ec9459378201f94bdab1e2c72b4331,42000,Amazon AWS,NOT_DC,amazon aws,['Health and Medicine']
5301c52a5ebf449fefecd551bb5579c7ba5f1fa6615fc7427e92d4212fd2d1e3,88000,NOT_DC,NOT_DC,NOT_DC,['Unknown()']
cea41b79564b2c38727762691869ea390a6cf95151b2ddebb53bc057ebb43107,63000,Amazon AWS,NOT_DC,amazon aws,['Business Services']
f75c66ac428b9358d03569f42a9d5db9426e611179e4d30728d672848128340a,35000,QuadraNet Enterprises LLC,quadranet.com,enterprises quadranet,['Streaming Video']
4125a556f6e1dbe669d22845837fba868316d00bad781d81107e602d129f2ea5,40000,cloudflare,NOT_DC,cloudflare,['Business Services']
5a7f40363823051000910a26c7b3ed3a3f490529d6b16e17269af84d4d151f0c,64000,Google LLC,www.google.com,google,['Illegal Downloads']
